Category,SubCategory,Description,Amount,TransactionUtcDate
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-05 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-10 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-12 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-17 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-22 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-25 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-29 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-31 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-05 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-07 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-14 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-16 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-22 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-08-26 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-09-04 16:00:00
Transport,TaxiRideshare,UBER TRIP 6IXPN HELP.UBER Sydney,14.38,2018-07-22 16:00:00
Transport,TaxiRideshare,UBER TRIP I7N2K HELP.UBER Sydney,37.19,2018-09-13 16:00:00
Uncategorised,Uncategorised,AUTOMOTIVE BRANDS GROU NUNAWADING,5.99,2018-09-20 16:00:00
Uncategorised,Uncategorised,BLAZING SADDLES CYCLER SCARBOROUGH,219.00,2018-07-19 16:00:00
Uncategorised,Uncategorised,CIVEDIAMO PTY LTD SUBIACO,10.00,2018-07-08 16:00:00
Uncategorised,Uncategorised,CKW INVESTMENTS PTY PERTH,5.70,2018-08-07 16:00:00
Uncategorised,Uncategorised,CPP CITIPLACE NORTHBRIDGE,9.69,2018-08-26 16:00:00
Uncategorised,Uncategorised,CREDIT INTEREST PAID,0.01,2018-07-30 16:00:00
Uncategorised,Uncategorised,DOMINOS ESTORE 0231 EAST PERTH,161.45,2018-09-06 16:00:00
Uncategorised,Uncategorised,DORIC MINIMART SCARBOROUGH,8.99,2018-06-24 16:00:00
Uncategorised,Uncategorised,DOYLES (WA) PTY LTD PERTH,45.00,2018-07-22 16:00:00
Uncategorised,Uncategorised,EAST VILLAGE BREAKFA PERTH,3.00,2018-06-27 16:00:00
Uncategorised,Uncategorised,EAST VILLAGE BREAKFA PERTH,3.00,2018-07-01 16:00:00
Uncategorised,Uncategorised,EAST VILLAGE BREAKFA PERTH,3.50,2018-08-19 16:00:00
Uncategorised,Uncategorised,EAST VILLAGE WA PERTH,3.00,2018-07-01 16:00:00
Uncategorised,Uncategorised,ELECTROLUX HOME PRODUC MASCOT,145.00,2018-06-27 16:00:00
Uncategorised,Uncategorised,FIXPRESS PERTH,75.00,2018-07-05 16:00:00
Uncategorised,Uncategorised,HERDIE PTY LTD CHURCHLANDS,23.97,2018-07-05 16:00:00
Uncategorised,Uncategorised,HN MAC PTY LTD PERTH,5.50,2018-09-09 16:00:00
Uncategorised,Uncategorised,ISOLATE PTY LTD PERTH,2.50,2018-07-01 16:00:00
Uncategorised,Uncategorised,KWIK KOFFEE CENTRAL PERTH,4.50,2018-07-02 16:00:00
Uncategorised,Uncategorised,LATINA WA HAMILTON HILL,27.00,2018-06-25 16:00:00
Uncategorised,Uncategorised,NICHOLAS&P EVANGELELLI PERTH,9.00,2018-08-26 16:00:00
Uncategorised,Uncategorised,PAYPAL *EVERYDAYHER 4029357733,6.09,2018-09-11 16:00:00
Uncategorised,Uncategorised,PAYPAL *GROUPON AU 4029357733,33.95,2018-07-15 16:00:00
Uncategorised,Uncategorised,PAYPAL *PATREON MEMBER 4029357733,2.89,2018-08-05 16:00:00
Uncategorised,Uncategorised,PAYPAL *PATREON MEMBER 4029357733,2.98,2018-09-03 16:00:00
Uncategorised,Uncategorised,PAYPAL *PATREON PLEDGE 4029357733,2.91,2018-07-03 16:00:00
Uncategorised,Uncategorised,PAYPAL *REDBUBBLE 4029357733,36.75,2018-07-29 16:00:00
Uncategorised,Uncategorised,PAYPAL *THE ICONIC 567 4029357733,62.98,2018-07-11 16:00:00
Uncategorised,Uncategorised,PAYPAL *UBER AU 4029357733,10.52,2018-07-12 16:00:00
Uncategorised,Uncategorised,PAYPAL *VISIONSTORE 4029357733,23.98,2018-07-03 16:00:00
Uncategorised,Uncategorised,POCKETSMITH LTD DUNEDIN,10.25,2018-07-15 16:00:00
Uncategorised,Uncategorised,POCKETSMITH LTD DUNEDIN,11.28,2018-08-14 16:00:00
Uncategorised,Uncategorised,PTA SMARTRIDER EAST PERTH,20.00,2018-09-18 16:00:00
Uncategorised,Uncategorised,RACHEL LA'VELLE ALFRED COVE,471.65,2018-07-01 16:00:00
Uncategorised,Uncategorised,RACHEL LA'VELLE ALFRED COVE,495.00,2018-06-21 16:00:00
Uncategorised,Uncategorised,RE LAKS' MASSAGE PTY PERTH,70.00,2018-07-10 16:00:00
Uncategorised,Uncategorised,RUNKLE PTY LTD INNALOO,12.80,2018-08-26 16:00:00
Uncategorised,Uncategorised,SAAAB PTY LTD JOONDALUP,500.00,2018-08-19 16:00:00
Uncategorised,Uncategorised,SALAD KING PTY LTD PERTH,10.95,2018-07-04 16:00:00
Uncategorised,Uncategorised,SIR CHARLES GAIRDNER NEDLANDS,17.00,2018-06-24 16:00:00
Uncategorised,Uncategorised,SQ *THE CREPERIE BY HE PERTH,32.00,2018-07-08 16:00:00
Uncategorised,Uncategorised,THE BEACH HOUSE KIDS BALCATTA,7.00,2018-07-01 16:00:00
Uncategorised,Uncategorised,THE BEACH HOUSE KIDS BALCATTA,26.00,2018-07-01 16:00:00
Uncategorised,Uncategorised,THE GLOBE PERTH,49.00,2018-07-02 16:00:00
Uncategorised,Uncategorised,THE LOOKOUT SCARBOROUGH,19.50,2018-07-30 16:00:00
Uncategorised,Uncategorised,WHIPPERSNAPPERDISTILL East Perth,98.00,2018-09-09 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH BANKWEST PAY,3500.00,2018-08-15 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH BANKWEST PAY,3800.00,2018-07-18 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH PAY FROM BW,3400.00,2018-08-02 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH SALARY,3500.00,2018-06-21 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH SALARY,3800.00,2018-07-04 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH SALARY,3800.00,2018-09-02 16:00:00
Uncategorised,Wages,TRANSFER FROM MCKELT CHRISTOPH SALARY,4000.00,2018-09-12 16:00:00
WorkStudy,BooksStationery,Audible Australia MELBOURNE,16.45,2018-07-18 16:00:00
WorkStudy,BooksStationery,Audible Australia MELBOURNE,16.45,2018-08-19 16:00:00
WorkStudy,BooksStationery,Audible Australia MELBOURNE,16.45,2018-09-18 16:00:00
WorkStudy,BooksStationery,AUDIBLE LIMITED MELBOURNE,14.95,2018-06-21 16:00:00
WorkStudy,BooksStationery,DORIC NEWSAGENCY SCARBOROUGH,24.00,2018-08-01 16:00:00
WorkStudy,BooksStationery,DORIC NEWSAGENCY SCARBOROUGH,25.80,2018-08-30 16:00:00
